Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
17,Abdel Abqar,MAR,DF,Alavés,La Liga,26.0,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,Matches
18,Tammy Abraham,ENG,FW,Roma,Serie A,27.0,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Tammy Abraham,ENG,FW,Milan,Serie A,27.0,1997,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.23,0.30,0.53,0.15,0.46,0.54,0.16,0.70,0.41,0.58,Matches
20,Federico Accornero,ITA,MF,Genoa,Serie A,21.0,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Francesco Acerbi,ITA,DF,Inter,Serie A,37.0,1988,23,20,1710,19.0,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,19,61,22,0.00,0.05,0.05,0.00,0.05,0.02,0.03,0.05,0.02,0.05,Matches
22,Joshua Acheampong,ENG,DF,Chelsea,Premier League,19.0,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
23,Akor Adams,NGA,FW,Sevilla,La Liga,25.0,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
24,Akor Adams,NGA,FW,Montpellier,Ligue 1,25.0,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Matches
25,Che Adams,SCO,FW,Torino,Serie A,28.0,1996,35,29,2562,28.5,9,3,12,9,0,1,2,0,8.9,8.1,1.9,10.0,22,39,146,0.32,0.11,0.42,0.32,0.42,0.31,0.07,0.38,0.28,0.35,Matches
26,Tyler Adams,USA,MF,Bournemouth,Premier League,26.0,1999,27,20,1875,20.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.5,13,71,10,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.12,0.07,0.12,Matches
27,Junior Adamu,AUT,FW,Freiburg,Bundesliga,23.0,2001,25,19,1545,17.2,2,2,4,2,0,0,5,1,5.5,5.5,2.4,7.9,8,14,84,0.12,0.12,0.23,0.12,0.23,0.32,0.14,0.46,0.32,0.46,Matches
28,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27.0,1997,21,14,1319,14.7,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.2,5,39,1,0.07,0.07,0.14,0.07,0.14,0.06,0.02,0.08,0.06,0.08,Matches
29,Martin Adeline,FRA,MF,Reims,Ligue 1,21.0,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,23.0,2002,25,17,1433,15.9,7,6,13,7,0,0,4,0,5.5,5.5,6.0,11.5,68,28,153,0.44,0.38,0.82,0.44,0.82,0.34,0.38,0.72,0.34,0.72,Matches
31,Simon Adingra,CIV,"FW,MF",Brighton,Premier League,23.0,2002,28,11,1052,11.7,2,2,4,2,0,0,0,0,2.4,2.4,2.5,4.8,50,18,128,0.17,0.17,0.34,0.17,0.34,0.20,0.21,0.41,0.20,0.41,Matches
32,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,25.0,2000,20,6,766,8.5,2,0,2,2,0,0,3,0,2.7,2.7,0.7,3.4,37,24,100,0.23,0.00,0.23,0.23,0.23,0.32,0.08,0.40,0.32,0.40,Matches
33,Yacine Adli,FRA,MF,Fiorentina,Serie A,24.0,2000,26,15,1234,13.7,4,6,10,4,0,0,3,1,1.0,1.0,2.4,3.4,24,103,30,0.29,0.44,0.73,0.29,0.73,0.08,0.17,0.25,0.08,0.25,Matches
34,Adrián,ESP,GK,Betis,La Liga,38.0,1987,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Adryelson,BRA,DF,Lyon,Ligue 1,27.0,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Vasilije Adžić,MNE,"MF,FW",Juventus,Serie A,19.0,2006,6,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
37,Michel Aebischer,SUI,MF,Bologna,Serie A,28.0,1997,13,8,679,7.5,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,7,29,15,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
