Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
185,Mathias Delorge,BEL,MF,Gent,20,8,6,566,6.3,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,8,53,23,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10
186,Dumitru Demian,MDA,"DF,MF",Petrocub,26,6,4,395,4.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,7,12,26,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
187,Kévin Denkey,TOG,FW,Cercle Brugge,24,4,3,230,2.6,4,1,5,3,1,1,4,1,2.6,1.8,1.1,2.9,2,7,22,1.57,0.39,1.96,1.17,1.57,1.03,0.43,1.46,0.72,1.15
188,Đorđe Despotović,SRB,FW,Borac Banja Luka,33,10,10,873,9.7,2,0,2,2,0,1,2,0,2.0,1.2,0.5,1.7,2,20,34,0.21,0.00,0.21,0.21,0.21,0.20,0.06,0.26,0.12,0.18
189,Cameron Devlin,AUS,MF,Hearts,26,6,5,460,5.1,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,16,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
190,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26,12,11,1011,11.2,4,0,4,4,0,0,0,0,3.1,3.1,1.5,4.6,28,92,62,0.36,0.00,0.36,0.36,0.36,0.28,0.13,0.40,0.28,0.40
191,Yan Dhanda,ENG,"FW,MF",Hearts,26,5,3,234,2.6,1,0,1,1,0,0,0,0,0.9,0.9,0.5,1.4,12,14,19,0.38,0.00,0.38,0.38,0.38,0.36,0.18,0.53,0.36,0.53
192,Abdoulaye Diaby,MLI,DF,St. Gallen,24,4,4,360,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,11,0,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
193,Ibrahim Diakité,GUI,DF,Cercle Brugge,21,7,5,504,5.6,0,0,0,0,0,0,2,0,0.7,0.7,0.2,0.9,4,14,1,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.15,0.12,0.15
194,Assane Diao,SEN,"FW,MF",Betis,19,6,4,350,3.9,0,1,1,0,0,0,0,0,0.7,0.7,0.6,1.3,21,7,48,0.00,0.26,0.26,0.00,0.26,0.19,0.15,0.34,0.19,0.34
