Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
58,William Baeten,BEL,FW,FCSB,27,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Michael Baidoo,GHA,FW,Elfsborg,25,6,6,465,5.2,2,0,2,0,2,2,0,0,2.5,1.0,0.1,1.0,2,15,28,0.39,0.00,0.39,0.00,0.00,0.49,0.01,0.51,0.18,0.20
60,Nedim Bajrami,ALB,"FW,MF",Rangers,25,11,8,676,7.5,1,0,1,1,0,0,0,0,1.1,1.1,2.1,3.2,26,39,43,0.13,0.00,0.13,0.13,0.13,0.15,0.29,0.44,0.15,0.44
61,Tiemoué Bakayoko,FRA,MF,PAOK,29,4,1,115,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,9,3,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
62,Jon Balda,ESP,DF,Real Sociedad,22,1,1,23,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Tommaso Baldanzi,ITA,"MF,FW",Roma,21,9,6,458,5.1,0,0,0,0,0,0,2,0,0.9,0.9,0.3,1.2,17,16,17,0.00,0.00,0.00,0.00,0.00,0.17,0.05,0.23,0.17,0.23
64,Mahmadou Balde,ESP,FW,Lazio,20,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,0,7,0.00,0.00,0.00,0.00,0.00,0.19,0.62,0.81,0.19,0.81
65,Daniels Balodis,LVA,DF,FK Rīgas FS,26,4,3,289,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12
66,Leon Balogun,NGA,DF,Rangers,36,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,4,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
67,Metehan Baltacı,TUR,DF,Galatasaray,21,4,1,200,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,14,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
68,Alexandru Băluță,ROU,"MF,FW",FCSB,30,9,3,368,4.1,1,0,1,1,0,0,2,0,0.9,0.9,0.2,1.0,3,10,13,0.24,0.00,0.24,0.24,0.24,0.22,0.04,0.25,0.22,0.25
69,Robson Bambu,BRA,DF,Braga,26,3,2,151,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,2,0,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24
70,Daniel Bandeira,POR,MF,Midtjylland,24,2,2,113,1.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Melvin Bard,FRA,"MF,DF",Nice,23,5,4,318,3.5,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,12,7,24,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
72,Abdülkerim Bardakcı,TUR,DF,Galatasaray,29,10,10,895,9.9,1,0,1,1,0,0,1,0,1.0,1.0,0.4,1.4,11,55,13,0.10,0.00,0.10,0.10,0.10,0.10,0.04,0.14,0.10,0.14
73,Ander Barrenetxea,ESP,"FW,MF",Real Sociedad,22,10,5,488,5.4,3,1,4,3,0,0,1,0,1.7,1.7,1.7,3.3,18,12,42,0.55,0.18,0.74,0.55,0.74,0.31,0.31,0.61,0.31,0.61
74,Connor Barron,SCO,MF,Rangers,21,11,8,772,8.6,0,1,1,0,0,0,2,0,0.1,0.1,0.3,0.4,4,32,14,0.00,0.12,0.12,0.00,0.12,0.01,0.04,0.05,0.01,0.05
75,Michy Batshuayi,BEL,FW,Galatasaray,30,8,2,229,2.5,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.8,5,3,18,0.00,0.00,0.00,0.00,0.00,0.29,0.02,0.31,0.29,0.31
76,Michy Batshuayi,BEL,FW,Eint Frankfurt,30,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Oliver Baumann,GER,GK,Hoffenheim,34,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Altay Bayındır,TUR,GK,Manchester Utd,26,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Toral Bayramov,AZE,"DF,FW",Qarabağ,23,8,3,301,3.3,1,0,1,1,0,1,0,0,1.0,0.3,0.3,0.6,8,18,25,0.30,0.00,0.30,0.30,0.30,0.31,0.09,0.41,0.08,0.17
80,Rodrigo Becão,BRA,DF,Fenerbahçe,28,4,3,287,3.2,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.2,0,5,2,0.00,0.31,0.31,0.00,0.31,0.01,0.07,0.08,0.01,0.08
81,Mads Bech Sørensen,DEN,DF,Midtjylland,25,10,10,855,9.5,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,3,21,4,0.00,0.11,0.11,0.00,0.11,0.00,0.04,0.04,0.00,0.04
82,Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,10,5,516,5.7,1,2,3,1,0,0,0,0,0.9,0.9,2.0,2.9,26,6,57,0.17,0.35,0.52,0.17,0.52,0.15,0.35,0.50,0.15,0.50
83,Hannes Behrens,GER,FW,Hoffenheim,,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Eba Bekir Is,GER,MF,Eint Frankfurt,15,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Kristijan Belic,SRB,MF,AZ Alkmaar,23,8,3,227,2.5,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,3,10,1,0.00,0.00,0.00,0.00,0.00,0.13,0.02,0.15,0.13,0.15
86,Saïd Benrahma,ALG,"FW,MF",Lyon,28,7,3,303,3.4,1,1,2,1,0,0,1,0,1.4,1.4,1.5,2.9,10,14,32,0.30,0.30,0.59,0.30,0.59,0.40,0.46,0.87,0.40,0.87
87,Rodrigo Bentancur,URU,MF,Tottenham,27,13,11,967,10.7,0,0,0,0,0,0,4,0,0.3,0.3,0.3,0.7,15,44,16,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
88,Yassine Benzia,ALG,"MF,FW",Qarabağ,29,7,6,542,6.0,0,1,1,0,0,0,1,0,0.7,0.7,0.8,1.5,13,47,35,0.00,0.17,0.17,0.00,0.17,0.11,0.13,0.25,0.11,0.25
89,Yuri Berchiche,ESP,DF,Athletic Club,34,11,11,990,11.0,1,1,2,1,0,0,3,0,0.7,0.7,1.3,2.0,23,81,43,0.09,0.09,0.18,0.09,0.18,0.06,0.12,0.18,0.06,0.18
90,Álex Berenguer,ESP,"MF,FW",Athletic Club,29,14,7,715,7.9,0,2,2,0,0,1,2,0,2.4,1.6,1.6,3.2,26,24,70,0.00,0.25,0.25,0.00,0.25,0.30,0.20,0.50,0.20,0.40
91,Lasse Berg Johnsen,NOR,MF,Malmö,24,8,8,678,7.5,1,1,2,1,0,0,1,0,0.4,0.4,1.1,1.5,8,57,6,0.13,0.13,0.27,0.13,0.27,0.05,0.15,0.20,0.05,0.20
92,Oliver Berg,NOR,"MF,FW",Malmö,30,8,4,369,4.1,0,0,0,0,0,0,2,0,0.1,0.1,1.2,1.2,5,21,20,0.00,0.00,0.00,0.00,0.00,0.02,0.28,0.30,0.02,0.30
93,Patrick Berg,NOR,MF,Bodø/Glimt,26,15,15,1410,15.7,2,3,5,2,0,0,3,0,1.5,1.5,3.2,4.6,18,103,18,0.13,0.19,0.32,0.13,0.32,0.10,0.21,0.31,0.10,0.31
94,Mitchell van Bergen,NED,FW,Twente,24,7,4,317,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,18,4,29,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19
95,Steven Berghuis,NED,"MF,FW",Ajax,32,9,5,424,4.7,0,1,1,0,0,0,0,0,1.0,1.0,1.8,2.7,8,22,18,0.00,0.21,0.21,0.00,0.21,0.20,0.38,0.58,0.20,0.58
96,Lucas Bergvall,SWE,MF,Tottenham,18,12,10,788,8.8,0,1,1,0,0,0,2,0,0.7,0.7,0.8,1.4,14,42,28,0.00,0.11,0.11,0.00,0.11,0.08,0.09,0.16,0.08,0.16
97,Mergim Berisha,GER,FW,Hoffenheim,26,3,1,142,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,4,2,5,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37
98,Gijs Besselink,NED,MF,Twente,20,6,2,176,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,1,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
